PERSON_,Wt,Ht,Age,Sex,Waist,Finger,HandBreadth,HeadCirc,HipBreadth
Person #33053,277,1284,100,2,556,52,62,515,263
Person #33060,203,1204,89,2,504,54,57,518,222
Person #33070,287,1278,89,1,571,56,66,522,230
Person #34,429,1588,147,1,678,67,81,533,301
Person #34003,304,1346,103,1,569,62,71,528,242
Person #34006,243,1279,106,1,516,57,65,519,225
Person #34010,754,1867,179,1,713,80,88,576,336
Person #34013,431,1442,151,1,683,62,71,539,282
Person #34016,496,1627,165,1,676,80,84,562,294
Person #34017,554,1658,151,2,671,73,77,547,345
Person #34020,400,1539,178,2,626,61,69,535,297
Person #34023,476,1597,175,2,640,66,71,534,319
Person #34027,602,1682,167,1,760,82,83,559,307
Person #34030,470,1556,154,1,669,66,79,544,289
Person #34033,367,1508,158,1,608,70,73,546,263
Person #34036,461,1536,174,2,698,68,71,511,310
Person #34039,691,1620,178,2,774,64,79,539,404
Person #34042,472,1620,179,2,673,73,75,554,337
Person #34048,589,1579,175,2,781,69,79,553,360
Person #34053,573,1702,177,1,661,70,88,549,320
Person #34076,596,1634,178,2,755,73,80,586,351
Person #35003,298,1327,104,2,599,58,67,531,245
Person #35006,380,1332,117,2,567,53,61,518,256
Person #35010,241,1261,105,1,551,57,65,519,221
Person #35016,233,1269,117,1,537,51,63,491,224
Person #35022,224,1212,86,1,529,49,63,525,212
Person #35031,260,1306,96,2,541,55,62,517,229
Person #35034,227,1234,86,2,520,51,60,495,219
Person #35040,268,1284,106,2,528,56,66,515,243
Person #35043,338,1415,138,2,567,61,67,540,265
Person #35052,224,1217,99,2,546,51,62,504,226
Person #35055,324,1331,129,1,596,60,73,528,252
Person #35058,406,1546,142,1,623,68,77,569,266
Person #35061,296,1398,134,1,529,61,70,530,235
Person #35067,307,1334,138,1,574,54,71,515,252
Person #35070,400,1505,145,2,662,69,75,555,277
Person #35072,668,1670,153,1,794,71,84,558,340
Person #35075,611,1624,174,1,756,71,84,564,331
Person #35078,563,1577,175,1,798,66,81,550,310
Person #36003,312,1422,148,1,586,62,74,526,246
Person #36009,525,1529,144,2,681,66,75,551,348
Person #36012,571,1657,160,2,661,69,77,558,351
Person #36015,452,1581,161,2,648,68,77,543,278
Person #36019,449,1530,163,1,619,63,81,546,286
Person #36022,587,1583,178,1,775,64,82,579,321
Person #36025,696,1759,163,1,763,77,90,572,331
Person #36028,488,1595,172,1,667,66,81,564,298
Person #36033,357,1511,148,1,636,61,73,538,259
Person #36036,812,1768,177,1,873,80,92,592,371
Person #38006,333,1398,138,2,608,60,69,511,260
Person #38015,238,1245,88,1,573,53,67,526,225
Person #38018,288,1349,100,1,590,55,68,537,245
Person #38021,526,1669,140,2,630,76,75,545,294
Person #38024,289,1411,133,2,575,60,65,521,253
Person #38027,313,1362,123,2,578,54,63,519,259
Person #38030,279,1337,120,2,567,54,66,520,245
Person #38033,328,1435,135,1,591,55,70,522,256
Person #38036,429,1438,128,1,721,55,73,541,277
Person #38039,323,1346,97,1,627,56,65,533,267
Person #38042,248,1312,104,1,522,52,64,496,215
Person #38045,233,1251,91,1,522,57,64,505,283
Person #38056,283,1336,109,2,554,57,67,535,231
Person #38059,278,1372,112,2,538,60,64,510,240
Person #38062,289,1408,128,2,516,60,69,522,241
Person #38065,331,1440,128,2,590,63,68,519,270
Person #38068,231,1239,103,2,534,58,59,491,217
Person #38071,246,1264,95,2,500,53,62,535,226
Person #38074,223,1195,86,2,547,52,61,513,219
Person #40,508,1618,166,1,701,72,80,549,303
Person #40036,542,1634,163,1,672,71,86,553,302
Person #40039,436,1474,146,1,642,62,76,525,288
Person #40043,517,1643,149,2,664,68,79,530,325
Person #40046,524,1667,155,2,643,74,78,563,294
Person #40049,411,1479,158,2,673,72,73,526,295
Person #40053,426,1506,162,1,697,65,80,534,271
Person #40056,444,1593,155,1,627,70,78,546,290
Person #40061,399,1516,143,2,625,68,75,528,281
Person #40064,396,1512,146,2,638,62,75,515,283
Person #40067,317,1469,144,2,581,65,69,528,254
Person #40070,493,1551,160,2,729,63,72,546,318
Person #40072,342,1453,148,1,622,63,72,533,264
Person #40075,517,1723,167,1,664,73,87,535,299
Person #4026,214,1207,97,1,518,51,63,521,220
Person #4032,430,1622,171,1,585,64,80,521,275
Person #4040,490,1628,178,1,640,79,79,581,273
Person #4042,546,1738,170,1,708,70,83,561,319
Person #4046,374,1514,151,2,610,66,71,559,265
Person #4049,298,1343,114,2,571,57,64,531,245
Person #4052,340,1409,127,2,596,59,61,523,253
Person #4055,225,1254,113,2,523,51,63,492,224
Person #4063,428,1546,142,2,653,69,74,532,291
Person #4066,274,1285,102,2,540,56,62,508,263
Person #41002,273,1238,90,2,561,54,61,524,246
Person #41005,259,1300,113,2,511,52,65,493,242
Person #41008,230,1219,84,2,508,50,63,512,228
Person #41011,306,1355,103,2,552,62,71,510,247
Person #42003,291,1399,145,1,560,64,70,566,233
Person #42006,367,1450,133,1,603,67,72,522,279
Person #42009,329,1368,137,1,592,67,67,559,265
Person #42012,241,1201,106,1,573,58,70,526,231
Person #42015,240,1274,85,1,561,50,61,536,222
Person #42018,372,1495,144,1,626,68,73,548,260
Person #42021,316,1387,115,1,593,59,70,548,237
Person #42024,284,1292,102,1,572,54,68,522,259
Person #42026,213,1176,87,1,507,51,63,514,212
Person #47,349,1550,163,2,577,67,69,536,272
Person #49,340,1443,151,1,616,65,71,524,245
Person #5003,433,1602,158,2,585,71,78,539,278
Person #5009,224,1181,99,2,556,54,57,488,245
Person #5012,427,1536,166,2,623,68,66,533,297
Person #5018,304,1418,115,1,567,60,68,510,250
Person #5021,182,1119,91,1,472,45,60,515,206
Person #5024,483,1536,132,1,737,62,74,539,299
Person #5027,410,1374,130,1,743,58,71,529,257
Person #5030,245,1315,109,1,526,52,60,513,222
Person #5042,341,1419,110,1,582,65,70,532,258
Person #5045,448,1477,128,1,690,63,79,543,270
Person #5048,276,1334,110,1,571,58,71,514,242
Person #5052,254,1272,108,2,524,58,62,516,230
Person #5055,262,1301,108,2,571,53,62,497,243
Person #5058,265,1426,136,2,577,60,67,513,256
Person #5064,230,1236,89,2,504,57,63,506,229
Person #5067,207,1220,128,2,487,57,59,490,227
Person #5070,242,1223,88,2,544,49,63,507,233
Person #5073,428,1384,123,2,764,64,66,535,294
Person #53,371,1422,145,2,641,59,69,536,284
Person #6006,431,1583,155,2,664,62,72,552,295
Person #6011,436,1508,140,2,728,58,67,518,296
Person #6013,383,1451,137,1,603,52,72,552,263
Person #6021,434,1630,161,2,633,68,70,536,309
Person #6024,310,1415,118,2,585,57,70,533,253
Person #6027,403,1536,157,2,636,65,70,512,279
Person #6030,369,1489,134,2,646,68,70,535,288
Person #6036,472,1599,148,1,671,62,74,550,306
Person #6039,645,1545,136,1,852,66,80,559,365
Person #6042,427,1531,139,1,613,65,75,529,286
Person #6044,406,1386,91,1,670,52,68,532,288
Person #6047,390,1448,120,1,643,63,72,509,288
Person #6050,291,1336,117,1,627,54,66,509,254
Person #6053,428,1528,149,1,654,68,76,522,287
Person #6057,329,1526,149,2,547,59,70,495,265
Person #6060,355,1441,132,2,587,72,75,519,274
Person #6063,470,1561,139,2,668,65,78,529,304
Person #7002,342,1491,127,2,574,59,70,518,271
Person #7005,305,1351,128,2,618,57,67,496,265
Person #7010,483,1559,125,1,709,60,77,550,287
Person #7018,285,1352,112,1,554,52,67,523,237
Person #7020,336,1501,114,1,560,60,71,535,253
Person #7026,363,1389,134,1,612,56,73,535,270
Person #7029,434,1413,149,1,712,59,78,529,280
Person #8001,221,1173,92,1,517,51,67,498,214
Person #8004,305,1367,116,1,615,60,69,524,243
Person #8011,475,1552,143,2,784,70,81,520,321
Person #8019,474,1534,144,1,718,75,77,535,304
Person #8022,323,1467,138,1,622,61,70,525,263
Person #8028,298,1484,163,1,622,64,82,547,266
Person #8031,586,1731,162,1,674,73,85,561,314
Person #8034,358,1526,151,2,641,72,77,538,270
Person #8037,438,1613,167,2,635,81,82,530,287
Person #8039,457,1581,164,2,611,65,71,535,324
Person #8042,676,1743,169,2,931,72,80,559,366
Person #8045,336,1382,138,2,610,62,71,520,281
Person #8053,436,1480,145,1,637,67,83,567,287
Person #8056,251,1264,90,1,577,57,66,526,226
Person #8061,285,1281,92,2,621,53,69,506,266
Person #8064,245,1276,104,2,517,60,66,538,221
Person #8067,455,1530,133,2,708,63,74,528,309
Person #9001,608,1566,126,2,832,74,76,530,335
Person #9004,454,1590,124,2,676,65,73,521,290
Person #90096,673,1730,159,1,719,69,93,583,326
Person #90099,510,1556,162,1,689,62,79,553,278
Person #9010,327,1437,130,1,593,61,72,516,261
Person #90101,329,1484,157,1,553,66,77,521,226
Person #90103,334,1496,148,1,589,59,68,545,237
Person #90104,638,1766,171,1,769,83,89,557,319
Person #90106,447,1562,163,1,671,61,75,554,299
Person #90123,235,1242,86,1,524,52,63,522,205
Person #90127,334,1368,110,1,606,56,68,553,244
Person #9013,248,1308,117,1,509,57,69,521,221
Person #90131,297,1350,117,1,557,58,69,552,228
Person #90134,264,1323,121,1,548,51,61,538,235
Person #90143,320,1457,129,1,593,55,68,531,236
Person #90148,326,1414,122,2,603,56,69,526,246
Person #90157,425,1554,138,2,647,68,76,547,259
Person #9016,310,1298,91,1,573,57,68,513,246
Person #90167,458,1547,143,2,730,71,78,547,295
Person #90168,326,1456,143,2,562,62,65,528,242
Person #90172,360,1377,117,2,642,63,69,535,282
Person #90174,392,1284,114,2,695,51,66,548,298
Person #9022,448,1550,137,2,699,77,77,542,311
Person #90245,387,1359,126,2,652,60,68,520,275
Person #90249,403,1351,114,2,661,57,69,550,289
Person #9025,300,1366,124,2,582,59,66,525,266
Person #90257,320,1368,124,1,610,55,67,513,246
Person #90258,332,1394,110,1,572,58,70,520,232
Person #90265,286,1374,126,1,516,48,67,510,233
Person #90269,424,1473,135,2,698,60,83,511,288
Person #9028,431,1513,140,2,649,70,75,512,299
Person #90288,375,1401,133,2,661,60,72,532,274
Person #90291,218,1259,102,2,502,52,62,526,225
Person #90294,365,1433,149,1,628,64,74,525,272
Person #90297,562,1705,160,1,746,66,82,551,319
Person #90303,293,1339,121,2,603,57,67,553,244
Person #90306,284,1413,121,1,577,60,68,517,237
Person #90329,561,1634,152,2,711,67,77,555,345
Person #90332,530,1641,171,2,675,66,74,552,319
Person #90335,568,1568,168,2,724,67,77,562,367
Person #90338,433,1507,146,2,689,68,70,551,383
Person #9034,427,1485,131,1,703,59,76,541,287
Person #90341,288,1324,130,2,571,51,64,558,252
Person #90344,432,1601,159,2,605,68,76,540,301
Person #90347,517,1638,170,2,670,63,72,566,340
Person #90350,344,1336,115,2,622,56,62,531,280
Person #90353,373,1428,120,2,660,60,74,535,272
Person #90357,312,1380,138,2,615,57,71,538,259
Person #90360,418,1545,158,2,710,66,69,551,292
Person #90366,232,1201,116,2,581,46,56,494,246
Person #90371,413,1448,133,2,644,60,77,552,301
Person #90380,504,1509,132,1,758,67,82,557,303
Person #90383,388,1400,124,1,657,63,67,533,277
Person #90386,315,1489,135,1,565,63,70,528,275
Person #90389,326,1364,150,1,618,57,71,535,254
Person #9039,332,1361,136,1,570,66,73,519,255
Person #90392,490,1498,137,1,698,63,77,575,315
Person #90395,512,1501,115,1,774,61,77,553,324
Person #90398,308,1422,109,1,590,66,65,532,255
Person #90401,212,1247,105,1,534,45,60,497,214
Person #90403,355,1440,124,1,639,62,72,535,278
Person #90405,466,1524,172,1,614,67,72,578,269
Person #90411,462,1620,153,2,678,72,79,550,309
Person #90413,582,1816,174,2,710,73,80,550,346
Person #90416,420,1596,170,2,636,66,74,534,308
Person #90419,453,1519,170,2,672,62,73,541,336
Person #9042,394,1508,116,1,652,69,79,522,278
Person #90422,476,1555,173,2,692,66,77,545,327
Person #90428,349,1455,154,2,633,58,72,524,282
Person #90431,547,1651,161,2,756,75,77,558,335
Person #90434,441,1438,148,2,700,57,73,536,312
Person #90437,350,1509,162,2,617,69,76,502,284
Person #9044,228,1245,115,2,534,55,70,488,222
Person #90440,423,1526,157,2,628,62,76,541,288
Person #90443,420,1567,162,2,635,68,75,542,297
Person #90447,473,1636,155,2,667,77,78,549,337
Person #90449,466,1608,150,2,662,65,67,549,322
Person #90452,314,1415,130,2,603,65,67,506,275
Person #90455,439,1458,115,1,662,64,69,547,309
Person #90458,244,1250,85,1,532,55,64,549,221
Person #90461,301,1434,109,1,571,59,68,529,242
Person #90464,265,1302,115,2,576,55,59,526,251
Person #90467,229,1275,91,2,524,56,60,536,222
Person #9047,400,1417,116,2,672,62,72,520,294
Person #90475,402,1379,106,2,606,57,67,532,324
Person #90478,242,1225,92,2,560,50,59,517,232
Person #90481,407,1449,131,1,670,61,74,525,283
Person #90484,273,1277,107,2,544,57,62,555,257
Person #90487,541,1591,152,2,760,64,76,530,322
Person #9050,292,1299,105,2,669,60,66,513,266
Person #90506,539,1500,165,2,803,64,74,559,339
Person #90512,267,1290,95,2,560,57,65,530,226
Person #90515,316,1320,100,2,628,55,72,531,258
Person #90518,304,1314,102,2,621,56,65,545,251
Person #90530,318,1402,118,2,567,64,70,555,282
Person #90533,231,1222,98,1,533,50,62,525,214
Person #90539,320,1411,133,1,603,57,68,550,264
Person #9055,387,1405,95,2,683,62,66,524,290
Person #90552,427,1494,147,2,673,64,73,570,318
Person #90559,312,1384,122,2,625,56,65,533,279
Person #90562,352,1548,136,2,596,66,72,509,270
Person #90565,385,1419,135,1,671,61,71,552,278
Person #90568,341,1423,126,1,641,60,73,544,286
Person #9057,229,1201,101,2,534,54,62,485,244
Person #90571,239,1204,85,1,542,50,64,545,232
Person #90574,261,1269,93,1,520,51,63,521,244
Person #90577,252,1240,100,1,531,51,64,540,236
Person #90580,321,1351,115,1,627,55,67,527,269
Person #9059,337,1441,123,1,548,72,68,517,245
Person #90601,232,1202,90,2,545,52,59,515,237
Person #90604,217,1258,92,2,498,55,65,513,231
Person #90607,321,1271,101,2,658,55,65,532,278
Person #90610,272,1295,101,2,546,57,64,524,249
Person #90613,257,1275,108,2,548,60,67,537,246
Person #90616,263,1337,103,1,523,54,63,541,244
Person #90619,365,1434,128,1,591,54,69,545,279
Person #9062,271,1367,117,1,530,62,70,513,241
Person #90622,266,1262,112,1,545,55,65,515,233
Person #90628,203,1171,90,1,498,48,60,513,212
Person #90634,296,1236,84,1,582,55,67,524,260
Person #90639,204,1231,90,2,515,50,58,512,226
Person #90642,257,1352,109,2,532,55,61,521,246
Person #90645,283,1376,105,2,577,56,65,511,255
Person #9065,514,1464,128,1,833,65,74,529,296
Person #90651,307,1332,114,2,570,59,66,539,265
Person #90657,264,1287,111,2,558,52,67,518,243
Person #90662,414,1546,153,2,641,68,77,536,309
Person #90665,520,1590,154,2,692,65,67,512,350
Person #90674,715,1846,176,1,760,77,90,568,343
Person #90677,441,1484,134,1,752,64,79,533,297
Person #90680,368,1497,155,1,611,61,69,510,273
Person #90689,448,1546,177,1,631,62,81,537,283
Person #90701,272,1322,102,1,536,56,67,529,239
Person #90704,320,1312,103,1,604,56,71,552,262
Person #90707,281,1363,122,1,553,56,70,522,239
Person #90713,218,1188,94,2,534,48,60,523,229
Person #90716,316,1335,105,2,575,54,64,531,255
Person #90725,319,1380,116,1,600,60,71,505,260
Person #90728,320,1294,101,1,630,50,69,526,276
Person #90730,253,1266,99,1,595,51,67,521,255
Person #90731,448,1460,125,1,695,69,77,549,303
Person #90734,582,1581,160,1,771,65,83,558,337
Person #90737,357,1399,141,1,582,58,73,548,272
Person #90740,264,1364,113,2,534,55,69,516,239
Person #90743,505,1581,136,2,786,69,74,529,329
Person #90746,324,1424,114,2,631,65,72,527,273
Person #90778,238,1187,86,2,578,51,61,528,250
Person #90781,337,1451,125,2,576,65,71,530,267
Person #90784,334,1362,116,2,599,56,66,523,294
Person #90803,723,1672,179,1,845,70,88,585,356
Person #90841,368,1360,119,1,671,57,63,540,279
Person #90844,324,1341,119,1,628,60,70,533,258
Person #90847,244,1205,92,1,543,53,65,515,236
Person #90850,283,1276,94,1,617,56,66,537,239
Person #90853,661,1700,174,1,895,71,91,566,346
Person #90856,382,1474,157,1,615,61,73,532,270
Person #90954,262,1281,119,2,558,53,63,530,248
Person #90963,468,1496,130,1,746,65,78,575,308
Person #90966,275,1262,88,1,585,52,64,527,245
Person #90972,300,1385,136,1,554,58,67,511,245
Person #90973,710,1815,166,1,717,77,90,577,355
Person #90979,390,1497,177,1,623,63,79,532,272
Person #90988,593,1662,171,2,770,67,74,536,357
Person #90991,482,1591,177,2,627,65,73,531,334
Person #91013,256,1308,104,1,515,55,66,518,238
Person #91081,294,1372,140,2,558,60,64,533,252
Person #91083,401,1521,143,2,676,67,70,538,293
Person #91084,324,1401,119,2,612,60,67,526,268
